Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Afghanistan,AFG,-0.0035269073477485237,0.0009447488142603661,-1.5084990522928126,-0.003370785879054036,-0.00413581946180832,-0.0027417825109170304,-0.00800390805114564,-0.0011506661269278418
Angola,AGO,0.011090728247159069,0.028933673655775982,-0.2144321356094255,0.011585034944893135,-0.014465533939958216,0.03701321548902298,-0.12091034308276527,0.1152897438907665
Albania,ALB,-0.0008518189125272978,0.0013488290785765298,-0.18602532247893458,-0.0008232618273498807,-0.0019175495591226385,0.00029203380780709934,-0.006759718253682277,0.004077085744353412
United Arab Emirates,ARE,-0.058887435074774085,0.0017609115426784798,-0.18340121298676285,-0.058816418957854104,-0.0611028348049493,-0.0568120349490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.060985471512098585,0.04989625753910041,-0.601634354005891,-0.055463647042499134,-0.10612417583290008,-0.01594518057573486,-0.2818900634435322,0.07875649113982033
Armenia,ARM,-0.0018180194987994756,0.00026458705709875356,-0.5377783221438086,-0.00179074639553552,-0.00207717883422811,-0.00154025673096627,-0.0025430388342281103,-0.00142222639553552
Australia,AUS,-0.10741137005763395,0.038761054965283905,0.18687001567628297,-0.10905034758550834,-0.13852857682434702,-0.07575879089021872,-0.2473016133521354,0.026472072375041553
Austria,AUT,-0.014525997643652611,0.0041074743152057745,-0.16185426693261956,-0.014516666130850672,-0.017806737375592775,-0.011128148823126707,-0.03347620233524283,0.00338651413467252
Azerbaijan,AZE,-0.010343345085088513,0.0012878795114683005,0.3012605884079035,-0.010317591501556417,-0.011512892184189365,-0.009273087819423348,-0.01619422528444666,-0.0038228789693054606
Burundi,BDI,0.00014938828786423698,0.001510593511520279,-0.7733216045531234,0.00019987207580746642,-0.0011216266950204968,0.0014674728609985115,-0.009101073790259472,0.004717336676447392
Belgium,BEL,-0.02694112467586655,0.0017267536502275182,-0.04496993391963228,-0.027105773783682483,-0.0282852247863849,-0.02527722184603936,-0.03507675530743709,-0.018468484916031647
Benin,BEN,-0.004711351261145726,0.002610651777782089,0.20345863151915436,-0.0046903079240157184,-0.007211155668297409,-0.002256996542732725,-0.017435233433416467,0.010191066617142282
Burkina Faso,BFA,-0.006125934739980022,0.001565054247472841,0.06270608706197468,-0.006660490003335741,-0.00771452242095061,-0.00433494877296271,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.023159068402262787,0.0058151655095741335,-0.082165757159537,-0.02283416905266558,-0.029353817002650863,-0.0174986529892153,-0.04547202303119332,-0.004510980058421538
Bulgaria,BGR,-0.008797924938943148,0.005150298792330389,1.2035413747184025,-0.009109773625085677,-0.01261410937526684,-0.005318913196167844,-0.025112647884147875,0.02329389586752472
