Country,iso,Fab_tf_mean,Fab_tf_std,Fab_tf_skew,Fab_tf_median,Fab_tf_q17,Fab_tf_q83,Fab_tf_min,Fab_tf_max
Afghanistan,AFG,-0.0007070010371757145,0.0009068675344217776,-1.6988989394865488,-0.0005619120032603294,-0.001279429832019373,1.634066164263524e-05,-0.004856584370477945,0.0013241150804620982
Angola,AGO,0.015528975835967712,0.028931996766363516,-0.2166884193781381,0.016177892360968588,-0.010036556266040803,0.04137229293487549,-0.11551478382417679,0.11934415627281189
Albania,ALB,0.0005215198312558188,0.0013461498021793993,-0.18803470586216534,0.0005462654751971364,-0.0005491003810200096,0.001652786673078239,-0.005316694174690247,0.005330399575388432
United Arab Emirates,ARE,0.00010429065440000003,0.0001361050765721266,1.1846366928128773,3.597e-05,1.6930000000000002e-05,0.00033552,6.910000000000001e-06,0.00038309
Argentina,ARG,-0.010479232576998766,0.04983857406903771,-0.6045775710157998,-0.004912020486688609,-0.055524589355049135,0.03463213774761677,-0.22727685064861297,0.12376058569316864
Armenia,ARM,-0.00015255659909999998,0.00015997087061425067,-0.8890197952820932,-7.899e-05,-0.00038546,-1.754e-05,-0.0004942,-2.19e-06
Australia,AUS,0.0023701350807099203,0.03862949626383631,0.18311210785174215,0.0007099724357861279,-0.02854337806391001,0.03442244517113686,-0.13382732229869843,0.13137440501312256
Austria,AUT,0.003461851461800514,0.0040530175749817045,-0.169515306666898,0.003452852515140455,0.00029450463326931,0.006734967710226178,-0.014653423892359733,0.020174076837682724
Azerbaijan,AZE,-0.0006330457991686758,0.001130087358882333,0.5624771657403056,-0.0006428761806037277,-0.0015950201638504243,0.00024391322461485862,-0.005185902080102563,0.005111332028412819
Burundi,BDI,0.00030216292802883805,0.001510018927088488,-0.77347096020718,0.0003631087516671419,-0.00096832870894216,0.0016175085453021525,-0.008882770156853199,0.0048123366764473915
Belgium,BEL,-0.0003354259359979294,0.0012779218829108733,-0.7267062452282775,-0.00034281092867672453,-0.0010428055035395175,0.0005587743322553486,-0.007110779941461086,0.005917249668676853
Benin,BEN,-0.0028618256854663167,0.0025866765520371838,0.2117359253261741,-0.00290412,-0.005266254616226163,-0.00038119118471994996,-0.015043811691727638,0.011464378794310092
Burkina Faso,BFA,-0.004877464628,0.0015350818114557622,0.06156101654377922,-0.00560309,-0.0062271,-0.0030906099999999997,-0.00735097,-0.00276063
